order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Rodentia,Marmota_vancouverensis,Sciuridae,T,3.8,0,1,48.96,48.96,Herbivore,N,Forest,BF,2,1
Carnivora,Meles_meles,Mustelidae,T,4.11,0,1,49.84,49.84,Carnivore,N,Forest,BF,2,1
Carnivora,Mephitis_mephitis,Mustelidae,T,3.32,0,1,44.29,44.29,Carnivore,N,Forest,BF,2,1
Rodentia,Microdipodops_megacephalus,Heteromyidae,T,1.02,0,1,40.29,40.29,Herbivore,N,Shrubland,TES,2,1
Afrosoricida,Microgale_dobsoni,Tenrecidae,T,1.58,0,1,18.71,-18.71,Insectivore,S,Forest,TRF,2,1
Afrosoricida,Microgale_talazaci,Tenrecidae,T,1.68,0,1,18.18,-18.18,Insectivore,S,Forest,TRF,2,1
Primates,Mirza_coquereli,Cheirogaleidae,T,2.49,0,1,21.1,-21.1,Omnivore,S,Forest,TRF,2,1
Didelphimorphia,Monodelphis_brevicaudata,Didelphidae,T,1.84,0,1,2,2,Insectivore,N,Forest,TRF,2,1
Rodentia,Mus_musculus,Muridae,T,1.33,0,1,31.3,31.3,Herbivore,N,Shrubland,TES,2,1
Rodentia,Muscardinus_avellanarius,Myoxidae,T,1.44,0,1,49.43,49.43,Omnivore,N,Forest,TEF,2,1
